TimeStamp,ch1,ch2,ch3,ch4
8556.274,68330.2,36541.7,32232.24,34247.12
8556.278,68345.36,36561.06,32247.93,34257.94
8556.282,68345.51,36556.44,32249.5,34250.31
8556.286,68341.41,36552.24,32245.88,34246.5
8556.29,68347.56,36563.5,32251.31,34257.32
8556.294,68326.82,36545.95,32233.43,34240.68
8556.298,68317.61,36536.17,32227.66,34229.33
8556.302,68327.15,36545.14,32236.25,34233.72
8556.306,68332.16,36547.33,32237.44,34236.48
8556.31,68332.16,36547.19,32235.82,34240.92
8556.314,68323.24,36528.78,32227.14,34236.1
8556.318,68332.49,36532.45,32234.05,34239.58
8556.322,68321.9,36525.78,32227.23,34221.94
8556.326,68329.77,36537.03,32235.82,34230.05
8556.33,68345.79,36552.53,32246.02,34248.79
8556.334,68329.34,36540.61,32225.28,34231.0
8556.338,68329.77,36547.05,32228.9,34229.19
8556.342,68321.52,36544.47,32222.8,34219.17
8556.346,68325.53,36546.04,32228.28,34222.13
8556.35,68327.96,36539.61,32230.67,34228.47
8556.354,68322.33,36530.4,32227.81,34228.23
8556.358,68314.75,36521.39,32222.8,34223.7
8556.362,68311.75,36515.05,32219.08,34218.65
8556.366,68320.04,36523.2,32227.71,34227.28
8556.37,68327.1,36534.03,32231.0,34235.05
8556.374,68319.33,36527.35,32223.13,34228.76
8556.378,68293.01,36505.04,32198.58,34202.25
8556.382,68296.54,36510.47,32204.68,34203.2
8556.386,68306.03,36521.3,32217.36,34211.35
8556.39,68296.39,36511.47,32203.82,34204.2
8556.394,68284.33,36495.74,32190.57,34194.43
8556.398,68272.03,36481.96,32177.26,34179.12
8556.402,68294.91,36503.51,32199.43,34196.24
8556.4058,68309.03,36513.76,32215.36,34209.64
8556.4098,68315.23,36523.16,32218.17,34221.22
8556.4138,68333.3,36542.94,32233.53,34238.77
8556.4178,68338.64,36548.05,32238.3,34239.49
8556.4218,68322.62,36531.26,32224.47,34218.36
8556.4258,68337.21,36545.9,32236.63,34233.43
8556.4298,68340.5,36554.96,32236.87,34243.02
8556.4338,68328.67,36544.99,32231.0,34237.06
8556.4378,68316.61,36523.44,32221.13,34222.56
8556.4418,68311.08,36521.01,32221.94,34216.07
8556.4458,68305.55,36521.73,32223.75,34211.93
8556.4498,68326.62,36540.8,32239.39,34235.82
8556.4538,68336.26,36552.77,32244.11,34253.22
8556.4578,68320.9,36544.42,32227.04,34247.16
8556.4618,68307.84,36530.21,32214.17,34232.48
8556.4658,68317.85,36537.56,32223.28,34240.39
8556.4698,68280.32,36498.26,32183.22,34210.92
8556.4738,68280.18,36499.98,32177.64,34219.17
