TimeStamp,ch1,ch2,ch3,ch4
1213265.5663,5726.0,34488.54,34882.88,36058.86
1213265.5703,5727.96,34506.94,34890.8,36069.35
1213265.5743,5718.18,34499.36,34881.88,36061.82
1213265.5783,5708.17,34486.68,34872.2,36052.37
1213265.5823,5709.74,34488.54,34873.11,36054.71
1213265.5863,5723.38,34503.8,34888.41,36068.35
1213265.5903,5729.01,34509.47,34897.28,36075.21
1213265.5943,5736.35,34520.01,34904.87,36079.98
1213265.5983,5733.3,34515.34,34905.1,36078.17
1213265.6023,5748.51,34534.6,34911.83,36078.6
1213265.6063,5759.67,34538.46,34916.55,36079.6
1213265.6103,5767.78,34535.22,34921.36,36083.61
1213265.6143,5759.76,34537.08,34923.22,36085.61
1213265.6183,5761.58,34545.0,34930.52,36093.05
1213265.6223,5770.87,34555.01,34939.2,36101.68
1213265.6263,5770.4,34550.43,34939.72,36102.11
1213265.6303,5769.87,34554.39,34942.92,36107.64
1213265.6343,5772.83,34558.06,34950.31,36111.6
1213265.6383,5781.46,34562.73,34958.65,36118.61
1213265.6423,5782.56,34568.46,34962.32,36125.09
1213265.6463,5794.91,34577.04,34966.14,36129.43
1213265.6503,5803.54,34575.37,34968.38,36133.82
1213265.6543,5803.49,34575.18,34962.23,36130.0
1213265.6583,5789.61,34569.98,34953.5,36123.85
1213265.6623,5786.13,34556.63,34948.97,36120.13
1213265.6663,5801.11,34554.68,34946.26,36118.13
1213265.6703,5810.88,34565.12,34945.97,36118.13
1213265.6743,5795.72,34549.15,34940.06,36113.41
1213265.6783,5783.7,34535.84,34941.63,36111.45
1213265.6823,5779.17,34535.7,34942.06,36107.45
1213265.6863,5762.05,34524.16,34925.66,36091.38
1213265.6903,5761.34,34521.01,34917.55,36085.09
1213265.6943,5766.3,34510.66,34907.39,36077.07
1213265.698,5770.97,34510.9,34905.1,36072.31
1213265.702,5761.96,34511.24,34902.39,36066.49
1213265.706,5759.38,34516.53,34899.14,36063.01
1213265.71,5774.83,34529.36,34903.34,36065.54
1213265.714,5786.85,34527.26,34903.24,36062.58
1213265.718,5772.97,34500.13,34890.8,36051.8
1213265.722,5774.64,34516.05,34891.61,36047.03
1213265.726,5789.47,34527.26,34899.29,36057.67
1213265.73,5795.91,34538.18,34905.82,36063.44
1213265.734,5798.05,34535.27,34904.67,36063.63
1213265.738,5811.5,34535.75,34907.68,36070.45
1213265.742,5802.25,34539.47,34908.11,36070.54
1213265.746,5780.17,34538.46,34909.4,36071.5
1213265.75,5782.75,34538.56,34914.55,36078.41
1213265.754,5805.25,34551.72,34924.32,36088.85
1213265.758,5807.02,34557.16,34925.61,36093.19
1213265.762,5802.78,34544.0,34925.75,36095.58
1213265.766,5808.35,34543.57,34928.85,36096.05
1213265.77,5801.25,34542.76,34928.52,36096.29
1213265.774,5801.73,34555.11,34936.53,36106.11
1213265.778,5813.27,34566.5,34944.35,36117.13
1213265.782,5819.13,34571.13,34951.88,36123.9
1213265.786,5819.37,34572.22,34958.8,36130.62
1213265.79,5816.84,34571.37,34964.04,36132.53
1213265.794,5810.88,34573.03,34965.66,36133.29
1213265.798,5799.58,34569.65,34960.46,36129.05
1213265.802,5782.99,34558.82,34946.45,36113.36
1213265.806,5770.16,34546.76,34935.29,36101.01
1213265.81,5780.03,34559.78,34940.2,36102.73
1213265.814,5774.74,34553.29,34935.24,36095.19
1213265.818,5768.63,34543.66,34927.37,36086.99
1213265.822,5763.25,34539.47,34915.26,36075.5
1213265.826,5763.67,34538.46,34909.16,36070.78
1213265.8297,5763.29,34525.68,34901.72,36061.43
1213265.8337,5772.26,34529.12,34903.34,36062.91
1213265.8377,5781.46,34543.33,34913.26,36076.31
1213265.8417,5777.36,34545.43,34916.07,36080.51
1213265.8457,5774.98,34545.62,34917.69,36084.56
1213265.8497,5780.98,34549.76,34918.88,36089.62
1213265.8537,5780.89,34545.85,34922.51,36097.72
1213265.8577,5778.31,34543.33,34924.42,36102.06
1213265.8617,5782.84,34559.02,34926.51,36099.58
1213265.8657,5778.74,34538.27,34918.74,36093.91
1213265.8697,5784.13,34533.46,34921.36,36097.67
1213265.8737,5805.54,34556.68,34937.29,36112.84
1213265.8777,5808.16,34546.9,34932.9,36111.31
1213265.8817,5813.89,34553.68,34934.76,36115.56
1213265.8857,5812.98,34553.96,34934.81,36111.07
1213265.8897,5823.76,34559.06,34939.96,36115.7
1213265.8937,5831.1,34570.36,34943.39,36116.7
1213265.8977,5829.62,34562.64,34938.77,36110.88
