TimeStamp,Code
1213271.2847,sw_20
1213271.3083,sw_10
1213271.3742,sw_0
1213283.7472,sw_1
1213289.8509,sw_11
1213289.8971,sw_10
1213289.9341,sw_0
1213303.1148,sw_1
1213309.1702,sw_11
1213309.2083,sw_10
1213309.2609,sw_0
1213323.0027,sw_1
1213329.0256,sw_11
1213329.1068,sw_10
1213329.1614,sw_0
1213342.0346,sw_1
1213348.0521,sw_11
1213348.1052,sw_10
1213348.1586,sw_0
1213360.7398,sw_1
1213366.8629,sw_11
1213366.9072,sw_10
1213366.9678,sw_0
1213379.2315,sw_1
1213385.2473,sw_11
1213385.3047,sw_10
1213385.3519,sw_0
1213397.5361,sw_1
1213403.5699,sw_11
1213403.6336,sw_10
1213403.6843,sw_0
1213415.9654,sw_1
1213421.9875,sw_11
1213422.0568,sw_10
1213422.1167,sw_0
1213435.9127,sw_1
1213441.9798,sw_11
1213441.9855,sw_10
1213442.1104,sw_0
1213454.8387,sw_1
1213460.887,sw_11
1213464.144,sw_50
