TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1213265.653,928.603,-154.086,-321.104,-1487.5,778.75,-1251.25,1299.6,-133.76,132.24
1213265.703,928.969,-151.89,-320.738,-1023.75,271.25,-1032.5,1301.12,-126.16,138.32
1213265.753,927.261,-151.951,-322.995,-420.0,-1417.5,-910.0,1299.6,-123.12,144.4
1213265.803,930.982,-157.807,-323.605,-612.5,-52.5,-1015.0,1296.56,-132.24,139.84
1213265.853,926.163,-156.221,-321.958,-857.5,-446.25,-1251.25,1308.72,-121.6,142.88
1213265.903,929.884,-160.796,-327.326,-1303.75,-8.75,-78.75,1305.68,-126.16,147.44
1213265.953,933.666,-162.504,-327.753,-1233.75,910.0,-682.5,1282.88,-120.08,132.24
1213266.003,933.666,-161.772,-325.496,-367.5,-306.25,-1916.25,1288.96,-115.52,153.52
1213266.053,932.812,-158.112,-320.738,-1085.0,638.75,-1916.25,1290.48,-121.6,139.84
1213266.103,928.908,-156.77,-317.871,-1907.5,61.25,-953.75,1299.6,-117.04,144.4
1213266.153,931.653,-158.051,-320.311,-1190.0,-402.5,-1242.5,1290.48,-123.12,145.92
1213266.203,932.019,-156.343,-320.555,-1338.75,-603.75,-1172.5,1301.12,-127.68,136.8
1213266.253,932.995,-158.783,-321.287,-1330.0,-778.75,-673.75,1288.96,-121.6,155.04
1213266.303,932.751,-159.088,-320.372,-953.75,-621.25,-770.0,1295.04,-115.52,136.8
1213266.353,926.224,-156.282,-319.64,-1172.5,-682.5,-1146.25,1293.52,-127.68,145.92
1213266.403,924.333,-164.212,-321.287,-1041.25,-1548.75,-665.0,1290.48,-109.44,133.76
1213266.453,939.827,-165.493,-327.997,-1435.0,-717.5,-1295.0,1302.64,-120.08,136.8
1213266.503,927.688,-162.504,-315.98,-1006.25,262.5,-1697.5,1292.0,-120.08,148.96
1213266.553,928.359,-162.809,-318.298,-700.0,-140.0,-1111.25,1307.2,-126.16,148.96
